demand_id,stop_id,distance_m,improvement
31,1139,137.72251881046904,68.28630798768054
33,1139,100.24397971324761,110.00154268259321
33,1140,186.1376338895496,24.107888506291232
47,1050,255.0923928819713,3.8395555258101695
47,1138,256.39172148053063,2.540226927250842
47,1139,69.63386388819738,189.2980845195841
47,1140,140.39794169164304,118.53400671613844
47,1141,220.54396528810304,38.38798311967844
54,1139,117.33500716431563,109.40903217299528
54,1140,169.49492986517325,57.24910947213766
56,1139,166.39151636652034,18.960597864744898
133,1139,167.83190064764207,68.6265804462912
133,1140,117.98988635154286,118.46859474239041
133,1141,111.1792612180887,125.27921987584457
133,1142,131.9550704785534,104.50341061537986
133,1151,234.35321565427688,2.1052654396563923
134,1140,167.1483131645366,19.65218410795461
134,1141,154.02226908794714,32.778228184544076
134,1142,156.9632222050758,29.83727506741542
135,1139,138.74046983036348,85.95764361854825
135,1140,70.0332510312066,154.66486241770514
135,1141,77.45187517904263,147.24623826986908
135,1142,123.23483362568393,101.4632798232278
406,1139,179.68349995547726,19.936744978497302
406,1140,166.95566870430005,32.66457622967451
406,1141,181.48408375460917,18.136161179365388
406,1142,198.64005410226306,0.9801908317114965
410,1137,253.8923630817792,14.275108787480121
410,1138,236.4987364527557,31.66873541650361
410,1139,97.20544448486412,170.96202738439518
410,1140,69.5722702033648,198.59520166589454
410,1141,123.33858378463732,144.828888084622
410,1142,173.22598588981967,94.94148597943965
412,1139,135.52687982924272,111.18434749432276
412,1140,117.71682122789419,128.9944060956713
412,1141,146.88240672813745,99.82882059542803
412,1142,179.53428250267413,67.17694482089135
548,1141,91.4217988911835,35.91855765869428
548,1142,26.93626737319037,100.40408917668742
548,1151,113.62888469706988,13.711471852807904
552,1151,109.67302254884744,27.443801500938648
554,1141,121.32592661401766,54.258121102453444
554,1142,54.321992841297714,121.26205487517339
554,1150,138.56133005820925,37.022717658261854
554,1151,87.2758512920384,88.30819642443271
555,1141,161.4992622854668,24.969684107089392
555,1142,100.87711041782471,85.5918359747315
555,1150,138.35207578854752,48.11687060400868
555,1151,85.57231499585599,100.89663139670022
559,1115,134.08327344881613,11.473040825075827
608,1139,207.28618501964863,13.34670258723105
608,1140,137.78956725293102,82.84332035394866
608,1141,90.26190191603543,130.37098569084424
608,1142,87.13046969918159,133.5024179076981
608,1151,184.80612729966504,35.82676030721464
610,1140,181.66705251296946,5.257010862375552
610,1141,139.67548885720788,47.24857451813713
610,1142,121.72522848612772,65.1988348892173
610,1151,184.00774864798493,2.9163147273600885
612,1139,184.52353127379175,0.042661967278263546
612,1140,99.84495793479007,84.72123530627994
612,1141,42.251340585240605,142.3148526558294
612,1142,73.25573249753224,111.31046074353777
629,1140,141.53930549497548,8.927052871271968
629,1141,50.71053730488369,99.75582106136376
629,1142,23.36622495718981,127.10013340905763
630,1140,170.44155660738963,22.57219573619338
630,1141,94.51769014316844,98.49606220041457
630,1142,52.643108523338555,140.37064382024445
630,1150,187.92874938058307,5.085002962999937
630,1151,135.5919890701512,57.42176327343182
644,1141,142.46271442030016,57.12582717840985
644,1142,99.98304543771408,99.60549616099593
644,1150,187.77453859282946,11.81400300588055
644,1151,134.50180063850448,65.08674096020553
646,1142,149.0702042034222,5.41585149821708
646,1151,150.9843871274444,3.5016685741948947
729,1142,126.82554454840712,1.8880121870820972
729,1149,117.37737950197219,11.336177233517034
729,1150,83.79268967964926,44.92086705583996
729,1151,79.84540727242864,48.868149463060575
