demand_id,stop_id,distance_m
0,751,69.17792955488044
1,748,71.1353243824754
2,834,395.89932235039254
3,747,56.67850672874154
4,834,316.3513609797657
5,834,354.8340776422834
6,753,36.946435044534404
7,834,251.83344105032992
8,772,64.71355151743721
9,834,281.5122249787742
10,835,213.77310730363163
11,434,266.63017165636
12,835,228.75008538249773
13,743,90.14383038372621
14,841,307.8275757729479
15,841,266.8110139921139
16,841,351.18019212898383
17,757,42.09415599284537
18,434,157.80965343967395
19,840,208.67625007113293
20,434,80.31702321892912
21,434,89.4302276917598
22,840,180.59578050857112
23,434,68.73354916814641
24,840,172.69051978901447
25,434,171.88573830091315
26,434,127.55874871995256
27,149,64.88333881860581
28,148,57.83854143216269
29,149,115.43284709085192
30,149,79.16621162149923
31,149,206.00882679814958
32,149,159.31786966235143
33,176,210.24552239584082
34,137,31.21923485609473
35,0,67.31017869720745
36,141,59.225106848785
37,834,295.4434233592787
38,134,19.048560477106925
39,834,321.11659438200945
40,146,51.850408327707505
41,835,263.0094535492023
42,141,93.0430218030885
43,835,275.3209632637878
44,147,20.070578591560334
45,835,266.3055546501049
46,147,29.945980009844394
47,176,258.9319484077815
48,147,53.28882827338203
49,147,57.73762042637365
50,149,114.81755228404758
51,147,85.70748763964558
52,149,149.3250308680698
53,149,123.45249908871833
54,149,226.7440393373109
55,841,337.0859786927513
56,149,185.35211423126523
57,841,300.09541451428413
58,1,13.535832076381562
59,1,42.09916678213477
60,841,377.0897346371948
61,136,13.456382082491563
62,0,27.294115666201755
63,141,26.659601928761052
64,139,19.57427760480575
65,146,93.31783725526434
66,141,76.55140225691493
67,6,215.54126997514885
68,126,226.67657472983396
69,6,154.01005699710004
70,6,180.52303566650434
71,6,144.84531080604577
72,6,140.8887249303506
73,1,91.4410670869495
74,1,141.24654309929147
75,21,27.287817794759626
76,821,356.2522203878174
77,21,64.44871386420368
78,20,73.91118508892954
79,817,77.9746052410655
80,20,34.02009975734933
81,817,95.951892242936
82,20,170.51053853061399
83,824,53.8293745319412
84,20,121.52512278845884
85,817,89.18132424308354
86,22,209.40588391625963
87,22,199.10640214468242
88,824,45.60688852848877
89,40,182.12628688632512
90,40,185.7411463233174
91,19,209.08858208006004
92,853,118.48945100725211
93,40,191.937988439626
94,853,158.01341171321502
95,19,167.33637063561525
96,853,84.75135968673305
97,853,90.06260843157942
98,21,112.08322103464015
99,853,142.568678625426
100,45,115.1603332044068
101,817,131.65673584648073
102,45,141.74082311564302
103,817,174.52858379789828
104,46,82.07820679845534
105,46,92.0075998899004
106,46,135.2024523631136
107,40,202.06325394229896
108,46,177.6264074539594
109,48,121.29709137073321
110,48,72.37559369359259
111,93,174.58081491819198
112,871,114.14495307502649
113,48,170.84417013392644
114,871,155.43148108571827
115,93,172.6749904987691
116,871,75.95606768882918
117,93,166.27555019830788
118,871,83.06141835262626
119,45,178.65896939070817
120,93,192.31677562682876
121,739,62.83606523128258
122,739,89.86213398868291
123,739,103.41519774675287
124,739,69.43730310503138
125,775,43.350857834649595
126,775,84.099829072359
127,775,80.57491176693897
128,775,41.05850437181072
129,151,42.893900717351414
130,151,28.665296418317393
131,151,137.390865780808
132,151,88.64571337633873
133,151,236.45848109393327
134,151,186.8004972724912
135,231,224.69811344891173
136,153,80.30140974011601
137,138,108.33364983928124
138,499,45.97481477667964
139,153,35.27669645105675
140,499,93.48583615981622
141,153,36.69314266658009
142,500,57.50377025682751
143,152,58.504673958582146
144,499,22.085328133174748
145,152,20.127037940293153
146,151,69.30745585793782
147,878,401.6663192641997
148,152,106.96023647832871
149,5,257.7576077926702
150,5,296.5146497224041
151,497,110.00218392718392
152,2,185.8342255210272
153,496,89.40226856741388
154,2,222.73214715213427
155,498,56.80510815498902
156,2,139.2258871627328
157,497,95.75754702633104
158,2,156.39407107927718
159,498,58.06519100330249
160,138,135.83695994647405
161,498,28.26997358063852
162,2,138.95536603528487
163,499,142.70783911106636
164,20,191.3452785542408
165,498,104.6132759261462
166,20,179.7429262342471
167,20,245.40577844409043
168,20,214.28604203843983
169,20,322.2343503763992
170,20,282.00973082723584
171,496,62.33647357286102
172,6,333.20340892426356
173,496,111.87878834368023
174,6,360.40806950247384
175,496,40.296314580244186
176,26,111.2717675333685
177,496,15.963092197315657
178,959,23.321044010721305
179,19,32.22291740749121
180,960,66.33758950436773
181,19,79.97873252465308
182,24,53.99175284244808
183,18,24.61476627453529
184,24,142.2056719157151
185,24,95.23016935955748
186,46,68.7194818628604
187,45,43.80193346189184
188,46,127.5352432908253
189,428,105.69638859724584
190,46,89.40807954262299
191,878,330.10449931612567
192,40,93.83271351186643
193,40,141.89563451265863
194,40,33.837906351457384
195,40,49.74721254753878
196,20,283.91438657850716
197,20,257.49153505503824
198,14,336.91680515188017
199,20,316.0899730990371
200,4,315.0060267280612
201,878,295.1148875861738
202,10,356.09705050028145
203,428,106.09232786233885
204,878,312.5980846070558
205,5,226.93881678218912
206,428,145.8887900508466
207,878,284.3295087240331
208,5,270.15399254406736
209,428,78.73804472743782
210,878,285.4260589999624
211,19,45.2835252188917
212,428,78.91537694739853
213,878,307.5609568646515
214,19,86.07484479364456
215,878,291.9220920254238
216,24,37.947023104586215
217,24,16.920309542085807
218,25,126.12492257182956
219,25,78.76517710892296
220,25,224.30913030347205
221,25,174.96011822341114
222,46,159.98045534923946
223,46,131.6142564466327
224,965,1090.99643746554
225,39,87.35543861861149
226,965,1101.2259521352782
227,39,137.3024148549471
228,39,13.74857947207638
229,39,37.54996671103717
230,495,110.3349658426557
231,26,78.78139255242954
232,26,41.68923347220478
233,496,62.29992977524132
234,43,49.111639404524055
235,496,86.67355241075562
236,43,25.32538252425815
237,43,144.7518485417371
238,43,95.82546389791182
239,45,102.83770587678431
240,45,131.92482767186016
241,45,109.17175759439802
242,45,93.5255646868812
243,106,23.811269653254527
244,105,20.617801774195037
245,106,123.71898285529994
246,834,245.72831001687615
247,834,284.97621885431073
248,44,97.5037258903474
249,834,183.6417836101033
250,44,147.09263131612
251,834,211.0766485485782
252,44,15.762024179971302
253,44,48.761737369068385
254,835,164.99670924748773
255,737,304.7495001021331
256,105,267.5058994676566
257,737,316.13471836584165
258,105,167.647498024128
259,105,217.5604441873568
260,428,79.24583486688748
261,105,68.20522798876931
262,428,127.70222932666447
263,105,117.80838852242229
264,428,34.9857113690718
265,428,35.38300483636176
266,834,327.17043293595464
267,834,371.30788164103114
268,752,151.57146880679755
269,850,77.20897980481286
270,867,41.495246339189265
271,867,77.4714665215523
272,855,78.13694908620377
273,775,176.3670488994472
274,775,127.66686384884686
275,855,123.19200270817096
276,756,169.05122420807842
277,757,194.460260641474
278,756,135.34163947211516
279,756,144.7336859329921
280,849,123.24844699832936
281,748,137.55030329846605
282,138,65.24290550511986
283,0,90.91720134276022
284,849,76.57951341579547
285,140,58.81040777362456
286,138,50.40964999382559
287,152,69.64244619842127
288,153,79.57177872053634
289,152,126.03755330753609
290,152,88.7004483148197
291,6,265.768468608016
292,6,290.69288185729624
293,6,240.61159053545197
294,6,248.52245402830303
295,1,220.32288982593252
296,0,115.57821688687709
297,1,142.70226872758542
298,20,130.0927853975769
299,21,126.0574335868377
300,20,174.74301443476932
301,428,145.42146452209178
302,20,145.70390834239828
303,20,253.27080677113184
304,843,31.97252238250839
305,20,211.75601378709413
306,22,320.5197012763022
307,20,297.4081200030524
308,40,82.58324398750632
309,434,260.5628073277151
310,19,101.9034469485699
311,40,138.42113334404542
312,428,215.14452809390716
313,19,68.32084807180016
314,434,236.99460206141828
315,24,124.675234359114
316,18,95.2841556214883
317,45,9.496504291053629
318,45,43.803494081522764
319,46,60.54166308212882
320,46,19.845792217747316
321,434,493.2059938238281
322,46,158.770790961373
323,46,109.25532738727206
324,434,405.95454640883133
325,40,90.27613887401255
326,884,23.26964895523781
327,40,120.33110245796803
328,44,96.50769075571128
329,44,128.23027687036318
330,870,38.86731234276432
331,43,76.0982352374219
332,44,84.76124556659134
333,43,119.71669030465218
334,43,86.95695325130706
335,45,93.52706827437713
336,45,143.44291928760373
337,105,147.05759925960984
338,434,725.868310843985
339,105,189.34834795952142
340,105,111.35113029848418
341,105,94.57986869572193
342,48,138.2155246345359
343,48,120.94951490704706
344,752,150.73056466755506
345,752,198.4724280284292
346,737,222.89042291000302
347,105,234.69056256323987
348,737,248.49356285676697
349,44,34.87774406767158
350,44,57.842222089490996
351,43,49.86716730475073
352,43,26.761241796673037
353,43,145.00992692312482
354,43,96.21490837572938
355,45,61.21414767028942
356,844,40.93912210526747
357,45,102.83840858964125
358,105,77.62419484284523
359,105,123.50052188654912
360,843,55.64044729331352
361,105,50.712848162472596
362,105,42.4105676689195
363,106,132.5642974889921
364,500,124.05683236424345
365,44,102.34740928572643
366,44,150.347124390525
367,105,270.06104633952674
368,737,268.90640071175324
369,105,171.69519003527734
370,871,138.52051686934323
371,105,220.69460658339614
372,434,742.438215548102
373,871,43.91113184603649
374,871,89.76668977828022
375,752,101.68292860038011
376,775,74.80336201501909
377,744,27.398819545739556
378,757,155.61508502552059
379,775,124.10501475564958
380,879,460.74832134800016
381,756,132.45672937321834
382,757,144.52153007856649
383,960,53.28428327143005
384,739,111.88266384364469
385,878,340.71917276182154
386,960,16.349335804551817
387,744,126.99061850191927
388,878,373.9519051211666
389,739,115.7190158314527
390,878,354.210091700533
391,744,29.597363163802278
392,744,77.46811339996606
393,499,50.84762008934145
394,840,110.82474904099716
395,500,16.60066357860432
396,500,115.8499163789081
397,500,65.94235764097307
398,151,75.99681325555697
399,151,98.77924804203563
400,501,78.52238932304594
401,151,113.18957066024237
402,496,96.77967083793993
403,821,322.5615675243255
404,151,82.42392325654002
405,498,53.858611196353735
406,151,199.62024493397456
407,501,51.33761565606646
408,151,154.36990123158725
409,498,55.18601357001609
410,231,268.1674718692593
411,498,21.751346941051718
412,151,246.71122732356548
413,499,144.35139146800768
414,27,70.03776882868272
415,498,103.0430356089144
416,814,201.44129107509215
417,26,66.2435433174434
418,814,159.39695927149927
419,25,103.5470341499456
420,26,135.37075824379502
421,25,71.6175279697645
422,496,117.85755106801601
423,25,73.65820558498558
424,496,54.747823872278246
425,45,198.0718087115125
426,496,40.35283834502847
427,45,214.61828396597528
428,965,1140.192047968236
429,45,201.43316587022107
430,959,1131.0820766250786
431,45,193.4008446691741
432,816,101.4567911415988
433,39,214.66613794739496
434,826,48.02802729917189
435,45,220.7866794272245
436,816,6.4553756668376785
437,27,130.24404676894065
438,39,172.80214706782436
439,817,96.34378547680177
440,44,150.23631125247317
441,44,186.2799367719186
442,44,115.3794690358731
443,853,227.21037539579922
444,44,124.26455523398457
445,853,259.9096748151173
446,796,155.91021805433408
447,43,124.46612553723202
448,796,189.82933330033586
449,43,189.2182106722289
450,43,155.02567831652922
451,796,132.59265628231452
452,105,200.89440634323296
453,816,151.3914885734994
454,105,244.10126132662649
455,495,39.56116703915596
456,796,138.29843466666568
457,106,127.64703531614042
458,856,114.7272580950142
459,105,161.6530331450666
460,497,117.61503677251477
461,106,105.03892507661148
462,495,89.07197318040058
463,857,143.324056446397
464,106,105.65731754119068
465,497,54.51014097165774
466,106,160.53842511218303
467,497,76.82661078688815
468,868,213.6580302873028
469,106,126.1066172183284
470,494,61.41622851494546
471,868,175.21034233885854
472,497,70.99568098659242
473,853,297.45843328312276
474,752,254.78321820961835
475,868,256.1266242627853
476,867,68.94534746812144
477,850,106.42999459738782
478,856,14.743510224841302
479,756,240.86285322253408
480,867,21.759785873257115
481,748,237.03643081022378
482,427,465.328731248136
483,427,415.40537430322206
484,752,251.48140773723213
485,426,509.8947310168541
486,752,258.01414841293104
487,775,136.64859986018882
488,739,139.38850831399265
489,775,152.59704903765342
490,796,110.74525596498479
491,775,135.93874999425293
492,796,63.17983385741054
493,775,218.85812506336154
494,816,118.0417696199104
495,775,181.913086647855
496,756,256.2135644828353
497,816,116.97033210925751
498,775,260.2025953463954
499,816,106.3388966347686
500,822,20.082933519533444
501,822,69.68892935753856
502,740,96.35373873778848
503,794,291.5000268010279
504,794,254.95479838345855
505,740,15.072221966253018
506,800,193.53317504694124
507,740,47.49321497593104
508,800,242.9160332681851
509,739,92.4985852932357
510,796,95.77698297999369
511,739,51.795986511987586
512,796,144.56974149610284
513,748,286.91349823378823
514,796,26.811844397579215
515,756,285.3383339892311
516,796,49.45752596925973
517,434,808.8285269063524
518,867,93.22151039325634
519,748,288.0830772103769
520,867,89.27610350060088
521,752,306.9296221754264
522,855,148.0013856565201
523,855,113.28514217451466
524,794,187.32585663089867
525,752,301.45875806235915
526,793,180.86369392791357
527,794,223.67749348951048
528,775,185.92903342068448
529,794,200.15318352451953
530,849,168.9501475102937
531,775,197.9460351017418
532,775,289.1403881551313
533,775,252.57801239171633
534,849,119.24089325814361
535,756,289.91109898122215
536,756,302.78527354381026
537,867,110.6806004343128
538,850,74.80041151290546
539,965,1484.3530893119737
540,740,78.65840407261007
541,740,84.44092332068617
542,740,64.48806817931515
543,426,485.30486954722596
544,739,160.80981585400812
545,426,441.3037856737692
546,739,122.41988770722672
547,426,530.3702495073607
548,231,127.34035654987778
549,219,36.45523796383724
550,221,43.1477747832956
551,220,16.80390114675756
552,221,137.1168240497861
553,221,88.49505635909838
554,231,175.5840477164711
555,221,186.4689463925562
556,2,75.4075903838599
557,2,27.59649264399373
558,428,834.7288037328351
559,153,145.55631427389196
560,153,126.82548294802586
561,10,250.27765831172385
562,10,258.5911272525606
563,4,177.25804371734446
564,4,222.81685654927458
565,5,93.06890088799803
566,4,134.8831815173782
567,5,26.41798925448339
568,5,46.68900599980685
569,25,139.77180062516186
570,25,99.15953449492389
571,14,204.72103732884904
572,23,179.71983404733047
573,14,206.77957580174595
574,14,199.58519484170162
575,14,252.20008487805868
576,14,225.125164838918
577,105,225.7409674272705
578,105,274.2003715351239
579,105,132.30745148611246
580,105,178.13512032653753
581,106,58.56936992788978
582,105,90.98566164511857
583,106,90.38684223934366
584,752,201.51526578338922
585,834,194.03331100934705
586,105,323.12955146697743
587,737,354.2636950422665
588,834,147.71554695596532
589,756,192.30541098406462
590,756,211.21516909599558
591,748,187.22492322070798
592,756,185.33993262381424
593,428,35.72502405527532
594,739,84.41175125537913
595,775,87.07797780581494
596,775,88.1819851216789
597,965,1455.5203255086305
598,775,148.98185711689862
599,775,238.3455753339046
600,775,192.35932359779184
601,740,57.65468324429508
602,740,101.74723583468987
603,739,35.386151069309584
604,739,19.468223307482376
605,821,325.8470392204753
606,151,137.55882264507792
607,151,88.90580513948457
608,231,220.63288760687968
609,814,76.78274444007586
610,151,186.924063375345
611,814,26.91465098231816
612,231,184.56619324107
613,153,34.01791807268634
614,153,35.48453668501253
615,152,63.0699636316686
616,152,30.985820850027515
617,144,46.35941449694981
618,144,95.27843653602845
619,151,43.428866048401495
620,145,2.527195827394466
621,2,152.81366308350835
622,5,187.13438311478197
623,2,90.56215493378015
624,2,115.22483117258189
625,2,114.2409220955871
626,2,90.14571537239027
627,834,259.50859511295573
628,834,305.2437678520235
629,231,150.46635836624745
630,231,193.013752343583
631,499,115.18595698912259
632,834,215.67489458963462
633,499,81.49772331942776
634,144,101.032927027529
635,152,97.63624295055602
636,496,107.79255250248043
637,144,36.743462428709684
638,496,72.45868973939565
639,144,57.261393516923775
640,145,109.81927625649332
641,497,70.95374263384561
642,144,66.49286263389477
643,498,78.26405125439138
644,221,199.58854159871
645,497,64.5947704926645
646,221,154.4860557016393
647,2,44.089752210689504
648,494,81.07396796290409
649,841,87.98135455879275
650,2,44.93506599805991
651,2,129.58933031407332
652,2,82.87728597903046
653,153,78.56160500683524
654,152,80.71644523422721
655,153,77.91015458526572
656,10,307.1436832941547
657,840,339.59955738339823
658,14,293.3579897603779
659,4,245.61067865373852
660,822,83.00277668548203
661,4,289.0528444333319
662,816,74.49100721731449
663,5,158.37146059580937
664,5,203.87122544022733
665,2,84.22832158039242
666,814,135.04478423841476
667,5,116.61717886422223
668,25,74.28513478482758
669,25,28.54362067520517
670,818,171.364685594057
671,25,172.9895115137042
672,796,86.68004203679183
673,25,123.3767572063312
674,796,119.33404074801959
675,14,249.57617981540224
676,796,95.17916903792552
677,25,222.7754790422411
678,796,76.06745567258051
679,14,270.43551391690403
680,14,255.3660363086681
681,796,131.6506533643111
682,816,56.34547452990346
683,39,103.12751890863079
684,816,76.16244973738699
685,26,23.729596498887208
686,868,213.36760385541194
687,27,21.85257779416424
688,857,185.77539151822558
689,19,115.849764646934
690,493,137.5310334297318
691,26,70.93389308010663
692,868,245.92037742173787
693,25,33.33453773865779
694,796,253.8151855927852
695,25,80.04783725997848
696,796,301.9094765509191
697,45,170.97538428455132
698,796,161.1452542545079
699,43,160.86736335798508
700,495,98.01480675770371
701,796,206.62762778123354
702,45,143.44148959593247
703,495,56.90500582110505
704,871,83.58322947816745
705,45,149.67971013133342
706,46,177.90679617428896
707,497,104.39995959050943
708,870,77.07091397699914
709,45,154.1002742737663
710,497,45.89598464190522
711,870,71.1744665417311
712,39,147.8386472645093
713,497,6.116384246431874
714,39,195.1339083488567
715,494,31.75012303125769
716,44,160.2130661416228
717,494,65.85495425554558
718,106,134.3111621617876
719,44,80.06054837590109
720,44,116.35704077321664
721,43,74.60960896560174
722,43,118.77600044306088
723,43,85.65724757718986
724,495,43.23708260856646
725,495,74.1668041899474
726,427,415.4854700001554
727,427,515.3315225415577
728,427,465.40023518069904
729,232,128.71355673548922
730,427,216.2206717829033
731,219,83.6315393556761
732,219,111.46974435356887
733,222,78.05271656066815
734,221,75.90935692488773
735,878,247.43029321406868
736,222,136.28467162065587
737,878,243.61334310234324
738,222,99.16079508177614
739,232,176.20940356930444
740,222,179.76136525265935
741,3,120.48187752728623
742,3,74.43744752307134
743,426,401.00547455739303
744,153,225.4069843499753
745,153,225.63299847318433
746,219,151.18452870168295
747,219,195.67325682754912
748,10,150.67569167752308
749,10,164.1146821775858
750,426,120.95918733192613
751,9,154.45201773123588
752,10,153.20802596061995
753,4,60.10007929487281
754,4,108.80697142761579
755,3,39.57252045296079
756,4,19.62340757870559
757,23,75.60438768682675
758,23,40.724445591683626
759,14,109.5565992421269
760,15,105.08463850630119
761,14,113.35672054955542
762,14,99.63033235415809
763,13,180.65648514515055
764,14,144.12943130655168
765,28,36.7958366360924
766,28,84.3647910490508
767,28,69.47627742618339
768,28,24.298919729074377
769,23,139.59166175402456
770,28,118.58948032498498
771,23,50.999310657105944
772,23,92.43037920510767
773,42,174.690708825627
774,42,136.91025516282554
775,42,262.7958972163569
776,878,187.3617511159895
777,42,217.46095195459804
778,28,233.25498219491476
779,878,137.3131400758864
780,28,283.1455152611462
781,878,156.45977168668628
782,28,133.71953508182713
783,878,150.35082671455453
784,28,183.42410513274967
785,23,19.8911098232351
786,23,36.5802307435314
787,878,178.83122062086923
788,15,67.80305233726575
789,15,39.78884697688537
790,14,67.44352382734758
791,13,110.27178781311201
792,14,73.45560946925701
793,28,88.98160800131677
794,36,135.15757586054877
795,889,311.28584758425814
796,28,37.29281306431576
797,28,46.41381461914114
798,28,121.91707607017156
799,28,75.01507660963894
800,23,85.32618937788092
801,23,134.99262132613026
802,42,105.69468854914139
803,42,66.32457477247782
804,49,257.15036943391704
805,42,247.96903158459122
806,36,182.9056386671827
807,41,143.1970751927217
808,41,155.6770997128351
809,41,147.5650412741785
810,42,118.66625336421471
811,834,84.40441616852758
812,42,51.249657011047404
813,42,76.51210075863817
814,106,282.1761002680773
815,106,253.6981705072979
816,106,263.6153610731931
817,41,181.5635542138069
818,834,233.6904920910348
819,834,283.6199660747635
820,746,266.7081958222319
821,746,265.25273178376506
822,746,296.11104336042587
823,746,277.3220149934008
824,745,310.28080150284836
825,849,133.97415504025395
826,727,175.68887850757656
827,849,119.57241529717463
828,740,194.84589263056074
829,849,116.71894661964697
830,727,132.71359552623085
831,727,147.44401744814877
832,727,156.07438881427663
833,727,226.0653251827887
834,727,187.70287982274007
835,153,176.0610023897967
836,152,180.6244593417514
837,153,175.7712802728307
838,219,84.21918483190157
839,219,132.37873283216607
840,10,202.33775328951836
841,10,200.4271220419033
842,4,111.87589035958551
843,4,160.44673960539055
844,4,32.59349532498778
845,5,65.40797447559433
846,3,19.846481111270077
847,23,145.03929963116894
848,23,109.447904274134
849,14,149.60022246808325
850,14,156.38631553783725
851,14,182.28361529838605
852,14,159.07158618449117
853,10,210.7166436384416
854,14,214.82751074990372
855,28,69.21078537699164
856,28,74.52267377281896
857,28,135.14123110194757
858,28,95.00867559070592
859,25,121.40782254451317
860,25,141.54969588893508
861,23,89.0016897662623
862,23,94.14749067287985
863,45,243.37688590692008
864,42,207.58104591941915
865,45,265.65989476678635
866,45,249.80741019333274
867,28,194.53559483099744
868,27,241.76328169306439
869,28,106.3819217783266
870,28,148.59542914403525
871,44,191.3189316135494
872,44,173.82501752840412
873,44,165.36144124311448
874,42,150.90601379666748
875,42,161.24579694134667
876,42,176.9674338861532
877,42,156.6686142387811
878,106,197.88168221502968
879,105,232.34672366960547
880,106,154.58515553732835
881,106,170.3727072479627
882,44,220.75370714610887
883,106,196.22864135365154
884,497,113.90492540382088
885,105,270.5769082557675
886,42,186.76805049981112
887,41,211.68906849138432
